,Person ID,Mean Velocity,Starting Frame,Initial Position
0,0,"(122.57914622761736, -58.24330431993458)",3,"(1144.0, 736.0)"
1,1,"(122.15830222879482, 71.38517180346291)",1,"(733.0, 694.0)"
2,2,"(-111.76640878451664, 0.7757118930193162)",1,"(57.0, 13.0)"
3,3,"(117.26233004463398, -30.941347351787098)",1,"(1090.0, 137.0)"
4,4,"(-52.10699342498506, 68.60679418210793)",26,"(19.0, 737.0)"
5,5,"(-140.58569592647382, -2.118863506536125)",1,"(351.0, 21.0)"
6,6,"(24.57171904225187, -133.41371909623354)",1,"(713.0, 173.0)"
7,7,"(-107.51439166237756, 11.124866251122043)",1,"(172.0, 394.0)"
8,8,"(115.9722483271323, -22.672187188648923)",3,"(1023.0, 95.0)"
9,9,"(116.29375623369093, -19.588093022285054)",1,"(1008.0, 82.0)"
10,10,"(103.939964031396, -35.8164230028616)",1,"(563.0, 70.0)"
11,11,"(132.75971946078351, -28.752651128929347)",1,"(972.0, 582.0)"
12,12,"(78.22351010229528, -12.557604712708041)",25,"(3.0, 267.0)"
13,13,"(132.5905400405038, -35.611395332360985)",1,"(963.0, 531.0)"
14,14,"(-92.69569322336511, -58.188964740733084)",19,"(106.0, 737.0)"
15,15,"(129.43282176844997, 8.59779908225399)",1,"(914.0, 172.0)"
16,16,"(88.82131482343611, -7.175531369583332)",35,"(18.0, 145.0)"
17,17,"(-106.32797119593592, 4.473540881384824)",1,"(259.0, 376.0)"
18,18,"(24.64285714285719, 24.642857142856656)",62,"(36.0, 736.0)"
19,19,"(151.07999844496047, 44.02281510042392)",1,"(758.0, 391.0)"
20,20,"(128.6293415634897, 12.880556648211984)",64,"(47.0, 732.0)"
21,21,"(221.78571428571433, 402.50000000000057)",78,"(107.0, 706.0)"
22,22,"(120.3156726290038, -28.49503884075858)",1,"(247.0, 106.0)"
23,23,"(127.91495874017971, 3.2211984947369667)",1,"(781.0, 118.0)"
24,24,"(127.39315840200649, 30.046732194222287)",1,"(305.0, 628.0)"
25,25,"(124.85320743770608, -4.018368227014126)",1,"(713.0, 537.0)"
26,26,"(107.76397809953335, 15.779035879995162)",1,"(779.0, 628.0)"
27,27,"(121.2216949119665, 28.452556464282907)",4,"(3.0, 624.0)"
28,28,"(68.71252685045609, -19.816357195310644)",1,"(642.0, 183.0)"
29,29,"(123.77271657147097, 31.368960064580833)",1,"(675.0, 461.0)"
30,30,"(116.37085004335664, 28.332390900047205)",36,"(5.0, 651.0)"
31,31,"(111.93799485236593, 30.408916744793995)",1,"(182.0, 588.0)"
32,32,"(101.62555871157987, -34.29266580610867)",1,"(638.0, 684.0)"
33,33,"(110.43181419274487, -30.39577182824242)",6,"(559.0, 736.0)"
34,34,"(83.99899366810816, -13.668204301268371)",1,"(641.0, 122.0)"
35,35,"(154.4442748757305, -40.992085985872606)",145,"(1156.0, 573.0)"
36,36,"(123.84533033209401, 31.24421176016062)",34,"(3.0, 577.0)"
37,37,"(119.68833511797611, 67.12300840866092)",3,"(1.0, 280.0)"
38,38,"(50.55272984905159, 105.13211853735646)",169,"(1.0, 689.0)"
39,39,"(105.70304427032094, -4.286818131379666)",1,"(427.0, 573.0)"
40,40,"(129.04409366600174, -23.56978041981915)",96,"(718.0, 735.0)"
41,41,"(101.34031517962318, 62.08593019912109)",34,"(542.0, 22.0)"
42,42,"(111.48017826908209, 1.0337593968928458)",1,"(319.0, 109.0)"
43,43,"(96.23453198371563, 31.22655396846282)",1,"(307.0, 490.0)"
44,44,"(-7.8728804832845585, 111.92373991038122)",41,"(861.0, 27.0)"
45,45,"(103.6889276495389, 40.65864870092212)",186,"(1009.0, 717.0)"
46,46,"(-12.538822799742725, 110.77934265247995)",44,"(835.0, 25.0)"
47,47,"(103.35492835499481, 8.367340418150066)",1,"(334.0, 239.0)"
48,48,"(103.11831077840857, 8.315857930059208)",1,"(326.0, 186.0)"
49,49,"(90.83463017728704, 20.57910893504134)",1,"(229.0, 546.0)"
50,50,"(117.19200353346615, -196.85599816537385)",144,"(74.0, 732.0)"
51,51,"(104.72542833337756, 51.84976301065106)",45,"(3.0, 332.0)"
52,52,"(108.34186417619024, 55.964027167786135)",50,"(3.0, 301.0)"
53,53,"(83.93009939693532, 45.081874710818795)",1,"(186.0, 278.0)"
54,54,"(110.82029371222498, 34.73308252441175)",1,"(61.0, 124.0)"
55,55,"(102.68081137590617, -0.6811008753908318)",1,"(98.0, 276.0)"
56,56,"(101.01486792431415, 1.3166390931901717)",1,"(102.0, 323.0)"
57,57,"(89.2248848010867, 86.41768130225611)",183,"(3.0, 422.0)"
58,58,"(98.16426076758368, 29.13671980480007)",79,"(0.0, 347.0)"
59,59,"(132.28180046111797, -23.187938011919183)",78,"(109.0, 702.0)"
60,60,"(116.07533081874604, -10.383047574208483)",32,"(0.0, 145.0)"
61,61,"(128.2640000397736, 7.451300807273801)",279,"(1144.0, 31.0)"
62,62,"(103.94385775065867, -9.351048969768083)",8,"(2.0, 529.0)"
63,63,"(121.70446204074916, -68.47855857612447)",77,"(1.0, 661.0)"
64,64,"(-97.48078344870731, -7.935830513059107)",11,"(1199.0, 440.0)"
65,65,"(88.24471064692031, 50.543682626196)",9,"(2.0, 108.0)"
66,66,"(86.87945315283216, -1.3455201282508256)",320,"(327.0, 737.0)"
67,67,"(79.1519071286001, 39.52762075659777)",33,"(45.0, 265.0)"
68,68,"(-2.716436723624442, -78.88970428117459)",95,"(81.0, 736.0)"
69,69,"(84.12820237604718, 28.293445804576052)",1,"(72.0, 47.0)"
70,70,"(-95.74648947549372, -105.16023389717441)",302,"(1199.0, 139.0)"
71,71,"(20.860729228929625, -201.14066547120947)",331,"(1199.0, 488.0)"
72,72,"(91.21473461575175, 51.27591388030548)",11,"(3.0, 40.0)"
73,73,"(6.7852958747951435, 164.6720673283043)",263,"(710.0, 21.0)"
74,74,"(72.31325312836073, 104.31951764878113)",359,"(1115.0, 696.0)"
75,75,"(123.04553849145819, 32.139026058067195)",134,"(1.0, 287.0)"
76,76,"(100.16636625177442, 33.71498199373973)",82,"(3.0, 294.0)"
77,77,"(8.214285714285552, 57.500000000000284)",379,"(1176.0, 736.0)"
78,78,"(138.87076858076728, -4.576482874143933)",174,"(3.0, 170.0)"
79,79,"(142.50114258112626, -0.7613689691518591)",344,"(24.0, 20.0)"
80,80,"(82.60718794586454, -28.58694314413736)",133,"(268.0, 734.0)"
81,81,"(74.37538226669359, -30.589884639429993)",223,"(595.0, 737.0)"
82,82,"(-9.880772211385391, -271.31343763978003)",366,"(919.0, 724.0)"
83,83,"(37.34557343872086, 62.51674748075657)",171,"(1.0, 70.0)"
84,84,"(97.02761247318328, -0.3975158865257311)",229,"(29.0, 588.0)"
85,85,"(110.81438555506939, 46.23500617028983)",203,"(1.0, 155.0)"
86,86,"(106.04146820522841, 50.16214880120852)",247,"(183.0, 15.0)"
87,87,"(112.51423011239395, 46.648583337917586)",216,"(0.0, 215.0)"
88,88,"(106.49358882965345, 50.57597848667845)",214,"(1.0, 14.0)"
89,89,"(99.42611146238485, 24.34908797834979)",270,"(3.0, 501.0)"
90,90,"(93.09566035337825, -5.582816690733004)",220,"(3.0, 542.0)"
91,91,"(100.76855068617374, -13.20869956897161)",224,"(1.0, 701.0)"
92,92,"(101.44560976250804, -13.909078504523386)",227,"(5.0, 659.0)"
93,93,"(111.90768350492772, 11.383354049340117)",284,"(53.0, 11.0)"
94,94,"(95.61500063072954, -30.760436857228846)",302,"(1.0, 691.0)"
95,95,"(97.21562640997472, -32.31891282445626)",308,"(1.0, 644.0)"
96,96,"(91.31276523851108, -21.86161812997579)",330,"(368.0, 736.0)"
97,97,"(104.2423087961468, -23.03616737158119)",337,"(0.0, 717.0)"
98,98,"(152.5003367271737, -26.38651457772697)",338,"(3.0, 481.0)"
99,99,"(106.1584145327191, -51.49676136413486)",352,"(219.0, 737.0)"
100,100,"(95.28627274728208, -38.808451070495344)",371,"(366.0, 733.0)"
101,101,"(104.48838707165508, 8.641435340713922)",379,"(313.0, 17.0)"
102,102,"(146.16481701282225, -69.25400032784165)",413,"(5.0, 634.0)"
103,103,"(99.3055573369583, 1.6582961935278124)",425,"(653.0, 22.0)"
104,104,"(87.89147660639252, -24.975090793126277)",430,"(765.0, 736.0)"
105,105,"(112.5376536943089, -29.766980640196543)",443,"(525.0, 737.0)"
106,106,"(138.2747647823573, 30.199671993103404)",473,"(5.0, 197.0)"
